19-01-2023 19:55:04 , Actualizar
19-01-2023 19:55:04 , BeginTrans1
19-01-2023 19:55:05 , BeginTrans2
19-01-2023 19:55:05 , BeginTrans3
19-01-2023 19:55:06 , GrabarDato
19-01-2023 19:55:06 , Buscando Caja si existe
19-01-2023 19:55:06 , Agregando caja al sistema
19-01-2023 19:55:06 , Leyendo Cuentas Corrientes relacionadas
19-01-2023 19:55:06 , Leyendo Stock, para actualizar la existencia
19-01-2023 19:55:06 , Salvando los datos
19-01-2023 19:55:06 , Termino GrabarDato
19-01-2023 19:55:06 , Proceso Correcto
19-01-2023 19:55:06 , Limpiar Entorno
