id,idmaopera,idcabeza,idarticulo,codigo,nombre,cantidad,univenta,unibulto,oricod,cantorig,idoriginal,sdocant,kilos,volumen,listaprecio,precosto,precostosiva,preunita,preunitasiva,prearti,preartisiva,interno,despor,tasaiva,switch,ivauni,alcohol,perceibruto,nofactura,espromocion,iddeposito,oferfecha,oferbonif,oferbonifcant,idfrio,pesable,escambio,stock,total,idcuerfac,desctociva,desctosiva,registro,idfuerzavta,codvalido,idcabeunifica,idprodpromo,idprodregalo,cada,entrega,internofin,idctavta,uniciva,unisiva,uniciva2,unisiva2,ivauni2,idenvase,idprodgenera,hojaactual,bondigitada,cantkilos,comprome,idope,idcuerpo
0,0,0,1100000439,"448","LECHE LS ENT FORT ACD SACH  X1L",6.00,1,16,"448",0.00,1100000439,0.00,1.000,0.000,1,17.735,14.657,21.637,17.882,21.637,17.882,0.000,0.000,21.000,"",22.530," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0.00,129.82,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,129.820,107.290,129.820,107.290,22.530,1100000428,0,0,0,0.000,0,"00001","0000000001"
0,0,0,1100001344,"491","LECHE LS ULT DESC FORT VIT X1L",6.00,1,16,"491",0.00,1100001344,0.00,1.000,0.000,1,17.735,14.657,21.637,17.882,21.637,17.882,0.000,0.000,21.000,"",22.530," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0.00,129.82,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,129.820,107.290,129.820,107.290,22.530,1100000428,0,0,0,0.000,0,"00001","0000000002"
0,0,0,1100000410,"6012","YOGUR FIRME FORTIF. C/H X 190G",8.00,1,20,"6012",0.00,1100000410,0.00,0.190,0.000,1,15.292,12.638,19.031,15.728,19.031,15.728,0.000,0.000,21.000,"",26.420," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0.00,152.25,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,152.250,125.830,152.250,125.830,26.420,1100000429,0,0,0,0.000,0,"00001","0000000003"
0,0,0,1100001208,"9657","YOGURISIMO CREMIX SABORIZADO X  120G",8.00,1,48,"9657",0.00,1100001208,0.00,0.120,0.000,1,6.372,5.266,7.933,6.556,7.933,6.556,0.000,0.000,21.000,"",11.010," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0.00,63.46,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,63.460,52.450,63.460,52.450,11.010,1100000429,0,0,0,0.000,0,"00001","0000000004"
0,0,0,1100000026,"6130","YOGURISIMO C/CEREALES X 166GRS",8.00,1,20,"6130",0.00,1100000026,0.00,0.166,0.000,1,20.389,16.850,25.379,20.974,25.379,20.974,0.000,0.000,21.000,"",35.240," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0.00,203.03,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,203.030,167.790,203.030,167.790,35.240,1100000429,0,0,0,0.000,0,"00001","0000000005"
0,0,0,1100000362,"530","POSTRE DANETTE PACK X 190 GRS.",2.00,1,36,"530",0.00,1100000362,0.00,0.190,0.000,1,23.562,19.473,29.322,24.233,29.322,24.233,0.000,0.000,21.000,"",10.180," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0.00,58.64,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,58.640,48.460,58.640,48.460,10.180,1100001533,0,0,0,0.000,0,"00001","0000000006"
0,0,0,1100000095,"4838","SALCHICHA VIENA X 6 FELA",6.00,1,24,"4838",0.00,1100000095,0.00,0.204,0.000,1,12.511,10.340,15.229,12.586,15.229,12.586,0.000,0.000,21.000,"",15.860," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0.00,91.37,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,91.370,75.510,91.370,75.510,15.860,0,0,0,0,0.000,0,"00001","0000000007"
0,0,0,1100000383,"94","DANONINO A/LAC PACK X 140G",2.00,1,36,"94",0.00,1100000383,0.00,0.140,0.000,1,16.555,13.682,20.605,17.029,20.605,17.029,0.000,0.000,21.000,"",7.150," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0.00,41.21,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,41.210,34.060,41.210,34.060,7.150,1100001533,0,0,0,0.000,0,"00001","0000000008"
0,0,0,1100000554,"6423","YOGURISIMO FORT ENT SACHET 1.300KS.",8.00,1,12,"6423",0.00,1100000554,0.00,1.300,0.000,1,28.671,23.695,35.695,29.500,35.695,29.500,0.000,0.000,21.000,"",49.560," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0.00,285.56,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,285.560,236.000,285.560,236.000,49.560,1100000428,0,0,0,0.000,0,"00001","0000000009"
0,0,0,1100000439,"448","LECHE LS ENT FORT ACD SACH  X1L",10.00,1,16,"448",0.00,1100000439,0.00,1.000,0.000,1,17.735,14.657,21.637,17.882,21.637,17.882,0.000,0.000,21.000,"",37.550," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0.00,216.37,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,216.370,178.820,216.370,178.820,37.550,1100000428,0,0,0,0.000,0,"00002","0000000010"
