id,idmaopera,idcabeza,idarticulo,codigo,nombre,cantidad,univenta,unibulto,oricod,cantorig,idoriginal,sdocant,kilos,volumen,listaprecio,precosto,precostosiva,preunita,preunitasiva,prearti,preartisiva,interno,despor,tasaiva,switch,ivauni,alcohol,perceibruto,nofactura,espromocion,iddeposito,oferfecha,oferbonif,oferbonifcant,idfrio,pesable,escambio,idprodcombo,escombo,stock,total,idcuerfac,desctociva,desctosiva,registro,idfuerzavta,codvalido,idcabeunifica,idprodpromo,idprodregalo,cada,entrega,internofin,idctavta,uniciva,unisiva,uniciva2,unisiva2,ivauni2,idenvase,idprodgenera,hojaactual,bondigitada,cantkilos,comprome,idope,idcuerpo,idsubprod,idvariedad
0,0,0,1100000287,"27","RICOTA GARCIA SACHET X 3 KS.",16.00,1,2,"27",0.00,1100000287,0.00,3.000,0.000,1,411.958,340.461,510.828,422.172,510.828,422.172,0.000,0.000,21.000,"",1418.500," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0,0,0.00,8173.25,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,8173.250,6754.750,8173.250,6754.750,1418.500,1100000429,0,0,0,0.000,0,"00001","0000000001",0,0
0,0,0,1100001774,"1170","CREMA LS TETRA TOP X 200CM3",24.00,1,24,"1170",0.00,1100001774,0.00,0.200,0.000,1,61.463,50.796,75.292,62.225,75.292,62.225,0.000,0.000,21.000,"",313.610," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0,0,0.00,1807.01,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,1807.010,1493.400,1807.010,1493.400,313.610,0,0,0,0,0.000,0,"00001","0000000002",0,0
0,0,0,1100001770,"1411","CREMA LS TETRA TOP X 330CM3",12.00,1,12,"1411",0.00,1100001770,0.00,0.330,0.000,1,99.650,82.355,122.071,100.885,122.071,100.885,0.000,0.000,21.000,"",254.230," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0,0,0.00,1464.85,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,1464.850,1210.620,1464.850,1210.620,254.230,0,0,0,0,0.000,0,"00001","0000000003",0,0
0,0,0,1100000439,"448","LECHE LS ENT FORT ACD SACH  X1L",40.00,1,17,"448",0.00,1100000439,0.00,1.000,0.000,1,45.210,37.364,55.383,45.771,55.383,45.771,0.000,0.000,21.000,"",384.480," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0,0,0.00,2215.32,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,2215.320,1830.840,2215.320,1830.840,384.480,1100000428,0,0,0,0.000,0,"00001","0000000004",0,0
0,0,0,1200001740,"6110","YOGUR ENTERO EST. ITALIANO VITO",8.00,1,12,"6110",0.00,1200001740,0.00,0.140,0.000,1,54.156,44.757,67.424,55.722,67.424,55.722,0.000,0.000,21.000,"",93.610," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0,0,0.00,539.39,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,539.390,445.780,539.390,445.780,93.610,1100001537,0,0,0,0.000,0,"00002","0000000005",0,0
0,0,0,1100000036,"102","SER C/COLCHON DE FRUTAS X 190G",5.00,1,20,"102",0.00,1100000036,0.00,0.190,0.000,1,47.784,39.491,59.491,49.166,59.491,49.166,0.000,0.000,21.000,"",51.630," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0,0,0.00,297.46,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,297.460,245.830,297.460,245.830,51.630,1100001535,0,0,0,0.000,0,"00002","0000000006",0,0
0,0,0,1100000026,"6130","YOGURISIMO C/CEREALES X 166GRS",4.00,1,20,"6130",0.00,1100000026,0.00,0.166,0.000,1,50.981,42.133,63.472,52.456,63.472,52.456,0.000,0.000,21.000,"",44.060," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0,0,0.00,253.89,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,253.890,209.830,253.890,209.830,44.060,1100000429,0,0,0,0.000,0,"00002","0000000007",0,0
0,0,0,1100001208,"9657","YOGURISIMO CREMIX SABORIZADO X  120G",8.00,1,48,"9657",0.00,1100001208,0.00,0.120,0.000,1,22.466,18.567,27.970,23.116,27.970,23.116,0.000,0.000,21.000,"",38.830," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0,0,0.00,223.76,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,223.760,184.930,223.760,184.930,38.830,1100000429,0,0,0,0.000,0,"00002","0000000008",0,0
0,0,0,1100001662,"6010","YOGURISIMO BATIDO C/FRUTAS X 150GS",4.00,1,20,"6010",0.00,1100001662,0.00,0.150,0.000,1,44.609,36.867,55.538,45.899,55.538,45.899,0.000,0.000,21.000,"",38.550," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0,0,0.00,222.15,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,222.150,183.600,222.150,183.600,38.550,1100000429,0,0,0,0.000,0,"00002","0000000009",0,0
0,0,0,1100001891,"6009","YOGURISIMO FIRME C/CREMA P. 140GR",3.00,1,20,"6009",0.00,1100001891,0.00,0.140,0.000,1,30.582,25.274,38.074,31.466,38.074,31.466,0.000,0.000,21.000,"",19.820," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0,0,0.00,114.22,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,114.220,94.400,114.220,94.400,19.820,1100000429,0,0,0,0.000,0,"00002","0000000010",0,0
