id,idmaopera,idcabeza,idarticulo,codigo,nombre,cantidad,univenta,unibulto,oricod,cantorig,idoriginal,sdocant,kilos,volumen,listaprecio,precosto,precostosiva,preunita,preunitasiva,prearti,preartisiva,interno,despor,tasaiva,switch,ivauni,alcohol,perceibruto,nofactura,espromocion,iddeposito,oferfecha,oferbonif,oferbonifcant,idfrio,pesable,escambio,stock,total,idcuerfac,desctociva,desctosiva,registro,idfuerzavta,codvalido,idcabeunifica,idprodpromo,idprodregalo,cada,entrega,internofin,idctavta,uniciva,unisiva,uniciva2,unisiva2,ivauni2,idenvase,idprodgenera,hojaactual,bondigitada,cantkilos,comprome,idope,idcuerpo
0,0,0,1100000055,"4961","FIAMBRE DE CDO. COCIDO 1/2 "J"",1.00,1,4,"4961",0.00,1100000055,0.00,4.000,0.000,1,120.601,99.670,144.721,119.604,144.721,119.604,0.000,0.000,21.000,"",0.000," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,1,0,0.00,0.00,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0.000,0,"00001","0000000001"
0,0,0,1100000140,"328","RALLADO L.S. SACHET 40 GRS.",10.00,1,90,"328",0.00,1100000140,0.00,0.040,0.000,1,11.230,9.281,13.709,11.330,13.709,11.330,0.000,0.000,21.000,"",23.790," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0.00,137.09,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,137.090,113.300,137.090,113.300,23.790,1100000429,0,0,0,0.000,0,"00001","0000000002"
0,0,0,1100001375,"170","CREMA LS UAT POTE 200 CC",8.00,1,24,"170",0.00,1100001375,0.00,0.200,0.000,1,17.059,14.098,20.856,17.236,20.856,17.236,0.000,0.000,21.000,"",28.960," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0.00,166.85,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,166.850,137.890,166.850,137.890,28.960,1100000429,0,0,0,0.000,0,"00001","0000000003"
0,0,0,1100000289,"65","CASAMCREM REGULAR X 330GS",2.00,1,12,"65",0.00,1100000289,0.00,0.310,0.000,1,28.660,23.686,35.682,29.489,35.682,29.489,0.000,0.000,21.000,"",12.380," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0.00,71.36,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,71.360,58.980,71.360,58.980,12.380,1100000429,0,0,0,0.000,0,"00001","0000000004"
0,0,0,1100000029,"71","CASANCREM LIGHT X 330 GS",2.00,1,12,"71",0.00,1100000029,0.00,0.310,0.000,1,28.660,23.686,35.682,29.489,35.682,29.489,0.000,0.000,21.000,"",12.380," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0.00,71.36,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,71.360,58.980,71.360,58.980,12.380,1100000429,0,0,0,0.000,0,"00001","0000000005"
0,0,0,1100001110,"1643","RICOTTA LS ENTERA BAJA SODIO SACHET 500G",1.00,1,18,"1643",0.00,1100001110,0.00,0.500,0.000,1,33.530,27.711,41.050,33.926,41.050,33.926,0.000,0.000,21.000,"",7.120," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0.00,41.05,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,41.050,33.930,41.050,33.930,7.120,1100000429,0,0,0,0.000,0,"00001","0000000006"
0,0,0,1100000228,"4831","LEBERWURST X 250 GRS",2.00,1,26,"4831",0.00,1100000228,0.00,0.250,0.000,1,18.472,15.266,22.658,18.726,22.658,18.726,0.000,0.000,21.000,"",7.870," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0.00,45.32,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,45.320,37.450,45.320,37.450,7.870,0,0,0,0,0.000,0,"00001","0000000007"
0,0,0,1100000026,"6130","YOGURISIMO C/CEREALES X 166GRS",3.00,1,20,"6130",0.00,1100000026,0.00,0.166,0.000,1,14.007,11.576,17.435,14.409,17.435,14.409,0.000,0.000,21.000,"",9.080," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0.00,52.31,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,52.310,43.230,52.310,43.230,9.080,1100000429,0,0,0,0.000,0,"00001","0000000008"
0,0,0,1100000816,"1666","VIDACOL PACK X 400 GS",1.00,1,12,"1666",0.00,1100000816,0.00,0.400,0.000,1,57.344,47.392,71.394,59.003,71.394,59.003,0.000,0.000,21.000,"",12.390," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0.00,71.39,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,71.390,59.000,71.390,59.000,12.390,0,0,0,0,0.000,0,"00001","0000000009"
0,0,0,1100000026,"6130","YOGURISIMO C/CEREALES X 166GRS",10.00,1,20,"6130",0.00,1100000026,0.00,0.166,0.000,1,14.007,11.576,17.435,14.409,17.435,14.409,0.000,0.000,21.000,"",30.260," ",1,0,0,1100000001,01-01-1900 00:00:00,0.000,0.000,1100000001,0,0,0.00,174.35,0,0.000,0.000,0,1100000001," ",0,0,0,0,0,0.000,0,174.350,144.090,174.350,144.090,30.260,1100000429,0,0,0,0.000,0,"00002","0000000010"
