CodigoSucursal;CodigoFuerza;CodigoModoAtencion;CodigoRuta;DescripcionRuta;CodigoPersonal;FechaDesde;Periodicidad;Semana;AtiendeLunes;AtiendeMartes;AtiendeMiercoles;AtiendeJueves;AtiendeViernes;AtiendeSabado;AtiendeDomingo
1;1;PRE;1;STROEDER Y VILLALONGA   6;106;01/01/2009;1;1;1;0;1;0;0;1;0
2;1;PRE;1;VALCHETA   5;205;01/01/2009;1;1;1;0;1;0;0;0;0
1;1;PRE;3;PATAGONES/VIEDMA 3;103;01/01/2009;1;1;0;1;0;1;0;0;0
2;1;PRE;3;SAN ANTONIO OESTE   9;209;01/01/2009;1;1;1;1;1;0;1;0;0
2;1;PRE;4;LAS GRUTAS   3;203;01/01/2009;1;1;1;0;0;1;1;0;0
1;1;PRE;5;PATAGONES   4;104;01/01/2009;1;1;1;1;1;1;1;0;0
1;1;PRE;6;VIEDMA  15;115;01/01/2009;1;1;1;1;1;1;1;1;0
1;1;PRE;7;VIEDMA   7;107;01/01/2009;1;1;1;1;1;1;1;0;0
1;1;PRE;10;LA ANONIMA PATAGONES;105;01/01/2009;1;1;1;0;0;1;0;0;0
1;1;PRE;15;COOP. PATAGONES CTRAL;114;01/01/2009;1;1;0;1;1;1;1;0;0
1;1;PRE;19;SAN BLAS;101;01/01/2009;1;1;1;1;0;0;0;0;0
1;1;PRE;20;LA BOCA;108;01/01/2009;1;1;0;1;1;1;1;0;0
2;1;PRE;23;LA ANOMILA LAS GRUTAS;206;01/01/2009;1;1;1;1;0;0;0;0;0
