CodigoArticulo;DescripcionArticulo;Anulado;UnidadesXBulto;ValorUMedida;UnidadMedida
22;FLAN SERENITO X 110 GRS.;SI;20;1;UNIDAD
95;POSTRE SERENITO X 130 GRS.;NO;20;1;UNIDAD
192;PACK CINDOR X 200+ 2 LTS.YOGUR;NO;12;1;UNIDAD
16;YOGURISIMO FIRME X 190GRS.;NO;20;1;UNIDAD
20;YOGURISIMO NATURAL PACK 240 GS;NO;24;1;UNIDAD
133;SER YOGUR CON CEREAL POTE 174G;NO;20;1;UNIDAD
6130;YOGURISIMO C/CEREALES X 166GRS;NO;20;1;UNIDAD
241;YOGURISIMO CREMOSO BOTE X 750G;NO;12;1;UNIDAD
92;DANONINO A/LAC PACK X 90G;NO;48;1;UNIDAD
71;CASANCREM LIGHT X330GS;NO;12;1;UNIDAD
75;QUESO GARCIA X250GS.;SI;12;1;UNIDAD
76;KIT DE BANDAS LOCAS PARA COLEC;NO;5;1;UNIDAD
147;QUESO CASANCREM DIET P.X 200GS;NO;12;1;UNIDAD
148;KIT SERENITO (AGENDA);SI;0;1;UNIDAD
166;VIDACOL PACK 4 X 320 CM3;NO;12;1;UNIDAD
167;QUESO BLANCO SER P. X 400GRS.;NO;12;1;UNIDAD
102;SER C/COLCHON DE FRUTAS X 190G;NO;20;1;UNIDAD
9104;SER FIRME  F  POTE 195GRS.;NO;20;1;UNIDAD
9010;YOGURISIMO C/BOLSAS DE CHOC 162GS;NO;20;1;UNIDAD
11;SER YOGUR P/BEBER SACHET X1L;NO;16;1;UNIDAD
5333;YOGURISIMO GO F. BOTELLITA X185GR;NO;35;1;UNIDAD
245;SER CREMOSO BOTELLA X 750G;SI;12;1;UNIDAD
34;POSTRE STO COMBDO POTE X 130GS;NO;20;1;UNIDAD
340;YOGUR GRAN COMPRA ENT SACH 1KG;NO;17;1;UNIDAD
358;YOGUR GRAN COMPRA ENT BEB 1100GR;NO;15;1;UNIDAD
9198;LECHE CINDOR FORT BRICK X250CM3;NO;24;1;UNIDAD
114;POSTRE SER COMUN POTE 130 GS.;NO;20;1;UNIDAD
168;YOGURISIMO TRES CEREALES X 180;SI;20;1;UNIDAD
4012;YOGUR FIRME CODIGO12 S/CARGO;NO;20;1;UNIDAD
